country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
China,"81,218",+47,"3,281",+4,"73,650","4,287","1,399",56
Italy,"74,386","+5,210","7,503",+683,"9,362","57,521","3,489","1,230"
USA,"62,852","+7,996",885,+105,392,"61,575","1,382",190
Spain,"47,610","+5,552","3,434",+443,"5,367","38,809","2,636","1,018"
Germany,"37,098","+4,107",206,+47,"3,547","33,345",23,443
Iran,"27,017","+2,206","2,077",+143,"9,625","15,315",,322
France,"25,233","+2,929","1,331",+231,"3,900","20,002","2,827",387
Switzerland,"10,897","+1,020",153,+31,131,"10,613",141,"1,259"
S. Korea,"9,137",+100,126,+6,"3,730","5,281",59,178
UK,"8,264",+187,435,+13,135,"7,694",20,122
Netherlands,"6,412",+852,356,+80,3,"6,053",582,374
Austria,"5,588",+305,30,+2,9,"5,549",28,620
Belgium,"4,937",+668,178,+56,547,"4,212",474,426
Canada,"3,290",+498,30,+4,185,"3,075",1,87
Norway,"3,052",+186,14,+2,6,"3,032",57,563
Portugal,"2,995",+633,43,+10,22,"2,930",61,294
Sweden,"2,526",+227,44,+4,16,"2,466",158,250
Australia,"2,431",+114,9,+1,118,"2,304",11,95
Israel,"2,369",+439,5,+2,58,"2,306",37,274
Brazil,"2,297",+50,48,+2,2,"2,247",18,11
Turkey,"1,872",,44,,26,"1,802",136,22
Malaysia,"1,796",+172,20,+4,199,"1,577",64,55
Denmark,"1,724",+133,34,+2,1,"1,689",69,298
Czechia,"1,654",+260,6,+3,10,"1,638",19,154
Luxembourg,"1,333",+234,8,,6,"1,319",3,"2,129"
Ireland,"1,329",,7,,5,"1,317",29,269
Japan,"1,307",+114,45,+2,310,952,57,10
Ecuador,"1,173",+91,28,+1,3,"1,142",2,66
Chile,"1,142",+220,3,+1,22,"1,117",7,60
Poland,"1,031",+130,14,+4,2,"1,015",3,27
Pakistan,"1,022",+50,8,+1,21,993,5,5
Thailand,934,+107,4,,70,860,11,13
Romania,906,+112,14,+2,86,806,18,47
Saudi Arabia,900,+133,2,+1,29,869,,26
Finland,880,+88,3,+2,10,867,22,159
Greece,821,+78,22,+2,36,763,53,79
Indonesia,790,+104,58,+3,31,701,,3
Iceland,737,+89,2,,56,679,11,"2,160"
Diamond Princess,712,,10,,587,115,15,
South Africa,709,+155,,,12,697,2,12
Russia,658,+163,3,+2,29,626,8,5
Philippines,636,+84,38,+3,26,572,1,6
Singapore,631,+73,2,,160,469,17,108
India,606,+70,11,+1,42,553,,0.4
Qatar,537,+11,,,41,496,6,186
Slovenia,528,+48,5,+1,10,513,14,254
Peru,480,+64,9,+2,1,470,9,15
Colombia,470,+92,4,+1,8,458,,9
Panama,443,,8,+2,1,434,33,103
Egypt,442,+40,21,+1,93,328,,4
Croatia,442,+60,1,,22,419,6,108
Bahrain,419,+27,4,+1,177,238,2,246
Hong Kong,410,+23,4,,102,304,4,55
Mexico,405,+38,5,+1,4,396,1,3
Estonia,404,+35,1,+1,8,395,5,305
Dominican Republic,392,+80,10,+4,3,379,,36
Argentina,387,,8,+2,52,327,,9
Serbia,384,+81,4,+1,15,365,21,44
Iraq,346,+30,29,+2,103,214,,9
Lebanon,333,+15,4,,8,321,4,49
UAE,333,+85,2,,52,279,2,34
Algeria,302,+38,21,+2,65,216,,7
Lithuania,274,+65,4,+2,1,269,1,101
Armenia,265,+16,,,16,249,6,89
Bulgaria,242,+24,3,,4,235,8,35
Taiwan,235,+19,2,,29,204,,10
Hungary,226,+39,10,+1,21,195,6,23
Morocco,225,+55,6,+1,7,212,1,6
Latvia,221,+24,,,1,220,,117
Slovakia,216,+12,,,7,209,2,40
New Zealand,205,,,,22,183,,43
Kuwait,195,+4,,,43,152,6,46
Uruguay,189,,,,,189,3,54
Andorra,188,+24,1,,1,186,6,"2,433"
San Marino,187,,21,,4,162,12,"5,511"
North Macedonia,177,+29,3,+1,1,173,1,85
Costa Rica,177,,2,,2,173,4,35
Tunisia,173,+59,5,+1,2,166,11,15
Bosnia and Herzegovina,173,+5,3,,2,168,1,53
Jordan,172,+18,,,1,171,,17
Moldova,149,+24,1,,2,146,20,37
Albania,146,+23,5,,17,124,3,51
Vietnam,141,+7,,,17,124,3,1
Cyprus,132,+8,3,,3,126,3,109
Faeroe Islands,132,+10,,,38,94,2,"2,701"
Malta,129,+19,,,2,127,1,292
Ukraine,116,+14,4,+1,1,111,,3
Burkina Faso,114,,4,,7,103,,5
Réunion,111,+17,,,1,110,,124
Brunei ,109,+5,,,2,107,1,249
Sri Lanka,102,,,,3,99,2,5
Oman,99,+15,,,17,82,,19
Senegal,99,+13,,,9,90,,6
Cambodia,96,+5,,,10,86,1,6
Azerbaijan,93,+6,2,+1,10,81,6,9
Venezuela,91,+7,,,15,76,2,3
Belarus,86,+5,,,29,57,2,9
Afghanistan,84,+10,2,+1,2,80,,2
Kazakhstan,80,+8,,,,80,,4
Georgia,75,+5,,,10,65,1,19
Guadeloupe,73,,1,,,72,4,182
Ivory Coast,73,,,,2,71,,3
Cameroon,70,+4,1,,2,67,,3
Ghana,68,+15,3,+1,,65,,2
Palestine,64,+4,1,+1,16,47,,13
Trinidad and Tobago,60,+3,,,,60,,43
Uzbekistan,60,+10,,,,60,4,2
Cuba,57,+9,1,,1,55,2,5
Martinique,57,,1,,,56,7,152
Montenegro,52,+5,1,,,51,,83
Liechtenstein,51,,,,,51,,"1,338"
DRC,48,+3,2,,,46,,0.5
Mauritius,48,+6,2,,,46,1,38
Nigeria,46,+2,1,,2,43,,0.2
Kyrgyzstan,44,+2,,,,44,,7
Rwanda,40,,,,,40,,3
Bangladesh,39,,5,+1,7,27,,0.2
Channel Islands,39,+3,,,,39,,224
Paraguay,37,+10,3,+1,,34,1,5
Honduras,36,+6,,,,36,,4
Mayotte,36,,,,,36,,132
Bolivia,32,+3,,,,32,,3
Macao,30,+1,,,10,20,,46
Kenya,28,+3,,,1,27,,0.5
Monaco,27,+4,,,1,26,,688
Gibraltar,26,+11,,,5,21,,772
Jamaica,25,+4,1,,2,22,,8
French Polynesia,25,,,,,25,,89
Guatemala,24,+3,1,,4,19,,1
French Guiana,23,,,,6,17,,77
Isle of Man,23,,,,,23,,270
Togo,23,+3,,,1,22,,3
Madagascar,19,+2,,,,19,,0.7
Barbados,18,,,,,18,,63
Aruba,17,,,,1,16,,159
New Caledonia,14,+4,,,,14,,49
Uganda,14,+5,,,,14,,0.3
Maldives,13,,,,8,5,,24
Ethiopia,12,,,,,12,,0.1
Tanzania,12,,,,,12,,0.2
Zambia,12,+9,,,,12,,0.7
Djibouti,11,+8,,,,11,,11
Mongolia,10,,,,,10,,3
El Salvador,9,+4,,,,9,,1
Equatorial Guinea,9,,,,,9,,6
Saint Martin,8,,,,,8,,207
Suriname,8,+1,,,,8,,14
Niger,7,+4,1,+1,,6,,0.3
Dominica,7,,,,,7,,97
Haiti,7,,,,,7,,0.6
Namibia,7,,,,2,5,,3
