country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
Brunei ,136,+1,1,,99,36,3,311
Paraguay,129,+5,6,+1,18,105,1,18
Guatemala,126,+31,3,,17,106,3,7
Gibraltar,123,,,,60,63,1,"3,651"
Cambodia,119,,,,72,47,1,7
El Salvador,117,+14,6,,15,96,4,18
Rwanda,113,,,,7,106,,9
Trinidad and Tobago,109,,8,,1,100,,78
Madagascar,93,,,,11,82,1,3
Mali,87,+13,7,,22,58,,4
Monaco,84,,1,,5,78,4,"2,141"
French Guiana,83,,,,43,40,1,278
Aruba,82,,,,20,62,,768
Liechtenstein,78,,1,,55,22,,"2,046"
Togo,76,+3,3,,25,48,,9
Barbados,66,,4,+1,11,51,4,230
Ethiopia,65,+9,3,+1,4,58,1,0.6
Jamaica,63,,4,,13,46,,21
Congo,60,,5,,5,50,,11
Uganda,53,,,,,53,,1
French Polynesia,51,,,,,51,,182
Sint Maarten,50,+7,8,+2,3,39,2,"1,166"
Bermuda,48,,4,,25,19,2,771
Cayman Islands,45,,1,,6,38,,685
Macao,45,,,,10,35,1,69
Gabon,44,,1,,1,42,,20
Bahamas,41,,8,,5,28,1,104
Zambia,40,+1,2,+1,25,13,1,2
Guyana,37,,6,,8,23,4,47
Liberia,37,+6,5,+1,3,29,,7
Guinea-Bissau,36,,,,,36,,18
Benin,35,+9,1,,5,29,,3
Eritrea,33,,,,,33,,9
Tanzania,32,+7,3,+2,5,24,,0.5
Saint Martin,32,,2,,11,19,5,828
Haiti,30,,2,,,28,,3
Myanmar,27,+4,3,,2,22,,0.5
Libya,24,,1,,8,15,,3
Angola,19,,2,,2,15,,0.6
Antigua and Barbuda,19,,2,,,17,1,194
Syria,19,,2,,4,13,,1
Maldives,19,,,,13,6,,35
Equatorial Guinea,18,,,,3,15,,13
New Caledonia,18,,,,1,17,,63
Mozambique,17,,,,1,16,,0.5
Dominica,16,+1,,,5,11,,222
Fiji,16,+1,,,,16,,18
Laos,16,,,,,16,,2
Mongolia,16,,,,4,12,,5
Namibia,16,,,,3,13,,6
Sudan,15,,2,,2,11,,0.3
Curaçao,14,,1,,7,6,,85
Saint Lucia,14,,,,1,13,,76
Botswana,13,,1,,,12,,6
Somalia,12,,1,,1,10,,0.8
Grenada,12,,,,,12,2,107
St. Vincent Grenadines,12,,,,1,11,,108
Eswatini,12,,,,7,5,,10
Zimbabwe,11,,3,,,8,,0.7
Chad,11,,,,2,9,,0.7
Greenland,11,,,,11,0,,194
Saint Kitts and Nevis,11,,,,,11,,207
Seychelles,11,,,,,11,,112
Belize,10,+1,1,,,9,1,25
Suriname,10,,1,,4,5,,17
MS Zaandam,9,,2,,,7,,
Malawi,9,+1,1,,,8,1,0.5
Nepal,9,,,,1,8,,0.3
Montserrat,9,,,,,9,1,"1,803"
Turks and Caicos,8,,1,,,7,,207
CAR,8,,,,,8,,2
Vatican City,8,,,,2,6,,"9,988"
Sierra Leone,8,+1,,,,8,,1
Cabo Verde,7,,1,,1,5,,13
Mauritania,7,,1,,2,4,,2
Nicaragua,7,,1,,,6,,1
St. Barth,6,,,,1,5,,607
Bhutan,5,,,,2,3,,6
Falkland Islands,5,,,,1,4,,"1,437"
Gambia,4,,1,,2,1,,2
Sao Tome and Principe,4,,,,,4,,18
South Sudan,4,+1,,,,4,,0.4
Western Sahara,4,,,,,4,,7
Anguilla,3,,,,,3,,200
British Virgin Islands,3,,,,,3,,99
Burundi,3,,,,,3,,0.3
Caribbean Netherlands,2,,,,,2,,76
Papua New Guinea,2,,,,,2,,0.2
Timor-Leste,2,+1,,,1,1,,2
Saint Pierre Miquelon,1,,,,,1,,173
Yemen,1,+1,,,,1,,0.03
China,"81,907",+42,"3,336",+1,"77,455","1,116",144,57
Total:,"510,806","+10,586","18,940","+1,274","32,773","459,093","11,848",
Total:,"803,996","+25,144","68,801","+2,983","192,656","542,539","30,294",
Total:,"268,866","+4,969","10,104",+208,"133,260","125,502","6,502",
Total:,"42,608","+3,003","1,672",+57,"4,158","36,778","1,160",
Total:,"7,573",+96,55,+3,"3,515","4,003",79,
Total:,"13,228",+348,676,+44,"2,135","10,417",154,
Total:,721,,13,,619,89,10,
