country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
Philippines,707,+71,45,+7,28,634,1,6
Singapore,683,+52,2,,172,509,17,117
Peru,580,+100,9,,14,557,14,18
Slovenia,562,+34,6,+1,10,546,14,270
Panama,558,,8,,2,548,20,129
Qatar,549,+12,,,43,506,6,191
Estonia,538,+134,1,,8,529,6,406
Argentina,502,,8,,63,431,,11
Croatia,495,+53,2,+1,22,471,14,121
Dominican Republic,488,+96,10,,3,475,,45
Mexico,475,+70,6,+1,4,465,1,4
Colombia,470,,4,,8,458,,9
Bahrain,458,+39,4,,204,250,1,269
Serbia,457,+73,7,+3,15,435,21,52
Egypt,456,,21,,95,340,,4
Hong Kong,453,+42,4,,110,339,5,60
Iraq,382,+36,36,+7,105,241,,9
Lebanon,368,+35,6,,23,339,3,54
Algeria,367,+65,25,+4,29,313,,8
UAE,333,,2,,52,279,2,34
Lithuania,290,+16,4,,1,285,1,107
Armenia,290,+25,1,+1,18,271,6,98
New Zealand,283,,,,27,256,,59
Morocco,275,+50,10,+4,8,257,1,7
Bulgaria,264,+22,3,,8,253,8,38
Hungary,261,+35,10,,28,223,6,27
Taiwan,252,+17,2,,29,221,,11
Latvia,244,+23,,,1,243,,129
Slovakia,226,+10,,,2,224,2,41
Andorra,224,+36,3,+2,1,220,6,"2,899"
Uruguay,217,,,,,217,3,62
Jordan,212,+40,,,1,211,,21
San Marino,208,,21,,4,183,12,"6,130"
Kuwait,208,+13,,,49,159,7,49
North Macedonia,201,+24,3,,3,195,1,96
Costa Rica,201,,2,,2,197,4,39
Tunisia,200,+27,6,+1,2,192,10,17
Bosnia and Herzegovina,189,+13,3,,2,184,1,58
Moldova,177,+28,1,,2,174,28,44
Albania,174,+28,6,+1,17,151,3,60
Ukraine,162,+17,5,,1,156,,4
Vietnam,153,+5,,,20,133,3,2
Burkina Faso,152,+6,4,,10,138,,7
Cyprus,146,+14,3,,4,139,3,121
Faeroe Islands,140,+8,,,47,93,,"2,865"
Réunion,135,+24,,,1,134,,151
Malta,134,+5,,,2,132,1,303
Ghana,132,+64,4,,1,127,,4
Azerbaijan,122,+29,3,+1,15,104,6,12
Brunei ,114,+5,,,5,109,1,261
Kazakhstan,111,+30,1,+1,2,108,,6
Oman,109,+10,,,23,86,,21
Sri Lanka,106,+4,,,7,99,3,5
Venezuela,106,,,,15,91,2,4
Senegal,105,+6,,,9,96,,6
Cambodia,96,,,,10,86,1,6
Afghanistan,94,+10,2,,2,90,,2
Belarus,86,,,,29,57,2,9
Palestine,84,+13,1,,17,66,,16
Mauritius,81,+33,2,,,79,1,64
Ivory Coast,80,,,,3,77,,3
Georgia,79,+4,,,10,69,1,20
Cameroon,75,,1,,2,72,,3
Guadeloupe,73,,1,,,72,4,182
Cuba,67,+10,1,,1,65,2,6
Montenegro,67,+14,1,,,66,1,107
Martinique,66,,1,,,65,7,176
Uzbekistan,65,+5,,,,65,4,2
Trinidad and Tobago,61,+1,1,,,60,,44
Honduras,52,,1,+1,,51,,5
DRC,51,+3,3,+1,,48,,0.6
Nigeria,51,,1,,2,48,,0.2
Liechtenstein,51,,,,,51,,"1,338"
Channel Islands,46,,1,+1,,45,,265
Bangladesh,44,+5,5,,11,28,1,0.3
Kyrgyzstan,44,,,,,44,,7
Paraguay,41,+4,3,,,38,1,6
Rwanda,41,,,,,41,,3
Bolivia,40,+8,,,,40,,3
Mayotte,36,,,,,36,,132
Kenya,31,+3,1,+1,1,29,,0.6
Macao,31,,,,10,21,,48
Monaco,31,,,,1,30,,790
French Guiana,28,,,,6,22,,94
Jamaica,26,,1,,2,23,,9
Gibraltar,26,,,,5,21,,772
French Polynesia,25,,,,,25,,89
Isle of Man,25,+2,,,,25,,294
Guatemala,24,,1,,4,19,,1
Madagascar,23,+4,,,,23,,0.8
Togo,23,,,,1,22,,3
Aruba,19,,,,1,18,,178
Barbados,18,,,,,18,,63
Zambia,16,+4,,,,16,,0.9
New Caledonia,14,,,,,14,,49
Uganda,14,,,,,14,,0.3
El Salvador,13,+4,,,,13,,2
Maldives,13,,,,8,5,,24
Tanzania,13,,,,,13,,0.2
Ethiopia,12,,,,,12,,0.1
Djibouti,11,,,,,11,,11
Dominica,11,,,,,11,,153
Mongolia,11,+1,,,,11,,3
Saint Martin,11,,,,,11,,284
Equatorial Guinea,9,,,,,9,,6
Cayman Islands,8,,1,,,7,,122
Haiti,8,,,,,8,,0.7
Suriname,8,,,,,8,,14
Gabon,7,+1,1,,,6,,3
Niger,7,,1,,,6,,0.3
Bermuda,7,,,,2,5,,112
Namibia,7,,,,2,5,,3
Seychelles,7,,,,,7,,71
Curaçao,6,,1,,2,3,,37
Benin,6,,,,,6,,0.5
Greenland,6,,,,2,4,,106
Laos,6,+3,,,,6,,0.8
Guyana,5,,1,,,4,,6
Bahamas,5,,,,1,4,,13
Fiji,5,,,,,5,,6
Mozambique,5,,,,,5,,0.2
Syria,5,,,,,5,,0.3
Cabo Verde,4,,1,,,3,,7
Congo,4,,,,,4,,0.7
Eritrea,4,,,,,4,,1
Guinea,4,,,,,4,,0.3
Vatican City,4,,,,,4,,"4,994"
Mali,4,+2,,,,4,,0.2
Eswatini,4,,,,,4,,3
Gambia,3,,1,,,2,,1
Sudan,3,,1,,,2,,0.07
Zimbabwe,3,,1,,,2,,0.2
Nepal,3,,,,1,2,,0.1
Angola,3,,,,,3,,0.09
Antigua and Barbuda,3,,,,,3,,31
CAR,3,,,,,3,,0.6
Chad,3,,,,,3,,0.2
Liberia,3,,,,,3,,0.6
Mauritania,3,+1,,,,3,,0.6
Myanmar,3,,,,,3,,0.06
St. Barth,3,,,,,3,,304
Saint Lucia,3,,,,,3,,16
Sint Maarten,3,,,,,3,,70
Belize,2,,,,,2,,5
Bhutan,2,,,,,2,,3
British Virgin Islands,2,,,,,2,,66
Guinea-Bissau,2,,,,,2,,1
Montserrat,2,+1,,,,2,,401
Nicaragua,2,,,,,2,,0.3
Saint Kitts and Nevis,2,,,,,2,,38
Somalia,2,+1,,,,2,,0.1
Grenada,1,,,,,1,,9
Libya,1,,,,,1,,0.1
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,,1,,9
Timor-Leste,1,,,,,1,,0.8
Turks and Caicos,1,,,,,1,,26
