country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
USA,"217,661","+2,658","5,153",+51,"8,973","203,535","5,029",658
Italy,"110,574",,"13,155",,"16,847","80,572","4,035","1,829"
Spain,"110,238","+6,120","10,003",+616,"26,743","73,492","6,092","2,358"
Germany,"81,728","+3,747",997,+66,"19,175","61,556","3,936",975
France,"56,989",,"4,032",,"10,935","42,022","6,017",873
Iran,"50,468","+2,875","3,160",+124,"16,711","30,597","3,956",601
UK,"33,718","+4,244","2,921",+569,135,"30,662",163,497
Switzerland,"18,475",+707,522,+34,"4,013","13,940",348,"2,135"
Turkey,"15,679",,277,,333,"15,069",979,186
Belgium,"15,348","+1,384","1,011",+183,"2,495","11,842","1,144","1,324"
Netherlands,"14,697","+1,083","1,339",+166,250,"13,108","1,053",858
Austria,"11,027",+316,158,+12,"1,749","9,120",227,"1,224"
Canada,"10,132",+401,131,+17,"1,891","8,110",120,268
S. Korea,"9,976",+89,169,+4,"5,828","3,979",55,195
Portugal,"9,034",+783,209,+22,68,"8,757",230,886
Brazil,"7,022",+142,252,+10,127,"6,643",296,33
Israel,"6,360",+268,33,+7,289,"6,038",107,735
Sweden,"5,466",+519,282,+43,103,"5,081",429,541
Australia,"5,137",+89,25,+2,345,"4,767",50,201
Norway,"5,119",+242,48,+4,32,"5,039",105,944
Czechia,"3,805",+216,44,+5,61,"3,700",72,355
Russia,"3,548",+771,30,+6,235,"3,283",8,24
Ireland,"3,447",,85,,5,"3,357",126,698
Chile,"3,404",+373,18,+2,335,"3,051",31,178
Denmark,"3,355",+248,123,+19,"1,089","2,143",153,579
Malaysia,"3,116",+208,50,+5,767,"2,299",105,96
Ecuador,"2,758",,98,,58,"2,602",100,156
Romania,"2,738",+278,94,+2,267,"2,377",78,142
Poland,"2,692",+138,51,+8,56,"2,585",50,71
Philippines,"2,633",+322,107,+11,51,"2,475",1,24
Pakistan,"2,386",+268,32,+5,107,"2,247",12,11
Japan,"2,384",,57,,472,"1,855",69,19
India,"2,341",+343,68,+10,177,"2,096",,2
Luxembourg,"2,319",,29,,80,"2,210",31,"3,705"
Saudi Arabia,"1,885",+165,21,+5,328,"1,536",31,54
Thailand,"1,875",+104,15,+3,505,"1,355",23,27
Indonesia,"1,790",+113,170,+13,112,"1,508",,7
Finland,"1,518",+72,19,+2,300,"1,199",62,274
Greece,"1,514",+99,53,+2,61,"1,400",91,145
Dominican Republic,"1,380",+96,60,+3,16,"1,304",147,127
South Africa,"1,380",,5,,50,"1,325",7,23
Mexico,"1,378",+163,37,+8,35,"1,306",1,11
Peru,"1,323",,47,+9,394,882,49,40
Iceland,"1,319",+99,4,+2,284,"1,031",12,"3,865"
Panama,"1,317",,32,,9,"1,276",50,305
Serbia,"1,171",+111,31,+3,42,"1,098",81,134
Argentina,"1,133",,34,+2,248,851,,25
Colombia,"1,065",,17,,39,"1,009",47,21
Singapore,"1,049",+49,4,+1,266,779,24,179
Croatia,"1,011",+48,7,+1,88,916,34,246
Slovenia,897,+56,17,+2,70,810,31,431
Estonia,858,+79,11,+6,45,802,16,647
Algeria,847,,58,,61,728,,19
Qatar,835,,2,,71,762,37,290
UAE,814,,8,,61,745,2,82
Ukraine,804,+10,20,,13,771,,18
Hong Kong,802,+36,4,,154,644,8,107
New Zealand,797,+89,1,,92,704,2,165
Egypt,779,,52,,179,548,,8
Iraq,772,+44,54,+2,202,516,,19
Diamond Princess,712,,11,,619,82,15,
Morocco,676,+22,40,+1,29,607,1,18
Armenia,663,+92,5,+1,33,625,30,224
Lithuania,649,+68,9,+1,7,633,11,238
Bahrain,635,+66,4,,341,290,3,373
Hungary,585,+60,21,+1,42,522,17,61
Bosnia and Herzegovina,518,+59,16,+3,20,482,4,158
Moldova,505,+82,6,+1,23,476,65,125
Lebanon,494,+15,16,+2,43,435,3,72
Latvia,458,+12,,,1,457,3,243
Bulgaria,457,+35,10,,25,422,18,66
Tunisia,455,+32,12,,5,438,10,38
Andorra,428,+38,15,+1,10,403,12,"5,539"
Slovakia,426,+26,1,,5,420,3,78
Kazakhstan,423,+43,3,,27,393,6,23
Azerbaijan,400,+41,5,,26,369,7,39
North Macedonia,384,+30,11,,17,356,4,184
Costa Rica,375,,2,,4,369,9,74
Cyprus,356,+36,10,+1,28,318,11,295
Uruguay,350,,4,+2,62,284,15,101
Kuwait,342,+25,,,81,261,15,80
Taiwan,339,+10,5,,50,284,,14
Réunion,308,+27,,,40,268,3,344
Belarus,304,+141,4,+2,53,247,11,32
Burkina Faso,288,+6,16,,50,222,,14
Cameroon,284,+51,7,+1,10,267,,11
Jordan,278,,5,,36,237,5,27
Albania,277,+18,16,+1,67,194,7,96
Afghanistan,239,+2,4,,10,225,,6
San Marino,236,,28,,13,195,16,"6,955"
Cuba,233,+21,6,,13,214,7,21
Oman,231,+21,1,,57,173,3,45
Vietnam,227,+9,,,75,152,3,2
Honduras,219,+47,14,+4,3,202,4,22
Ghana,204,+9,5,,31,168,2,7
Malta,196,+8,,,2,194,2,444
Senegal,195,+5,1,,55,139,,12
Uzbekistan,190,+9,2,,25,163,8,6
Ivory Coast,190,,1,,9,180,,7
Channel Islands,187,+15,3,,,184,,"1,076"
Faeroe Islands,177,+4,,,81,96,1,"3,622"
Nigeria,174,,2,,9,163,,0.8
Mauritius,169,+8,7,+1,,162,1,133
Palestine,160,+26,1,,18,141,,31
Sri Lanka,151,+5,3,,21,127,5,7
Venezuela,144,,3,,43,98,6,5
Montenegro,140,+17,2,,,138,4,223
Martinique,135,,3,,27,105,16,360
Brunei ,133,+2,1,,56,76,3,304
Georgia,131,+14,,,26,105,6,33
Guadeloupe,125,,6,,24,95,14,312
DRC,123,+14,11,+2,3,109,,1
Bolivia,123,+8,8,+1,1,114,3,11
Mayotte,116,+15,1,,10,105,3,425
Kyrgyzstan,116,+5,,,5,111,5,18
Kenya,110,+29,3,+2,4,103,2,2
Cambodia,110,+1,,,34,76,1,7
Isle of Man,95,+27,1,,,94,,"1,117"
Trinidad and Tobago,90,,5,,1,84,,64
Gibraltar,88,+7,,,46,42,,"2,612"
Rwanda,82,,,,,82,,6
Paraguay,77,+8,3,,2,72,4,11
Niger,74,,5,,,69,,3
Liechtenstein,72,,,,,72,,"1,888"
Madagascar,59,+2,,,,59,6,2
Bangladesh,56,+2,6,,25,25,1,0.3
Monaco,55,,1,,2,52,2,"1,402"
Aruba,55,,,,1,54,,515
Guinea,52,+22,,,,52,,4
French Guiana,51,,,,15,36,,171
Guatemala,46,+7,1,,12,33,1,3
Barbados,45,,,,,45,,157
Jamaica,44,,3,,2,39,,15
Uganda,44,,,,,44,,1.0
El Salvador,41,+8,2,,,39,4,6
Macao,41,,,,10,31,,63
Djibouti,40,+7,,,,40,,40
Zambia,39,+3,1,+1,,38,,2
French Polynesia,37,,,,,37,1,132
Togo,36,,2,,10,24,,4
Bermuda,32,,,,10,22,,514
Mali,31,,3,,,28,,2
Ethiopia,29,,,,3,26,2,0.3
Congo,22,,2,,2,18,,4
Cayman Islands,22,,1,,,21,,335
Saint Martin,22,,1,,2,19,,569
Bahamas,21,,1,,1,19,,53
Myanmar,20,+4,1,,,19,,0.4
Tanzania,20,,1,,2,17,,0.3
Guyana,19,,4,+1,,15,,24
Maldives,19,,,,13,6,,35
Gabon,18,,1,,,17,,8
Eritrea,18,+3,,,,18,,5
New Caledonia,18,+2,,,1,17,,63
Syria,16,+6,2,,,14,,0.9
Sint Maarten,16,,1,,6,9,,373
Haiti,16,,,,1,15,,1
Equatorial Guinea,15,,,,1,14,,11
Mongolia,14,,,,2,12,,4
Namibia,14,,,,2,12,,6
Benin,13,,,,1,12,,1
Saint Lucia,13,,,,1,12,,71
Dominica,12,,,,,12,,167
Curaçao,11,,1,,3,7,,67
Greenland,10,,,,2,8,,176
Grenada,10,+1,,,,10,,89
Laos,10,,,,,10,,1
Libya,10,,,,,10,,1
Mozambique,10,,,,,10,,0.3
Seychelles,10,,,,,10,,102
Suriname,10,,,,,10,,17
MS Zaandam,9,,2,,,7,,
Guinea-Bissau,9,,,,,9,,5
Eswatini,9,,,,,9,,8
Angola,8,,2,,1,5,,0.2
Zimbabwe,8,,1,,,7,,0.5
Saint Kitts and Nevis,8,,,,,8,,150
Sudan,7,,2,,2,3,,0.2
Antigua and Barbuda,7,,,,,7,,71
Chad,7,,,,,7,,0.4
Fiji,7,+2,,,,7,,8
Cabo Verde,6,,1,,,5,,11
Mauritania,6,,1,,2,3,,1
Nepal,6,+1,,,1,5,,0.2
Vatican City,6,,,,,6,,"7,491"
Liberia,6,,,,,6,,1
St. Barth,6,,,,1,5,,607
Turks and Caicos,6,,,,,6,,155
Nicaragua,5,,1,,,4,,0.8
Bhutan,5,+1,,,1,4,,6
Montserrat,5,,,,,5,,"1,002"
Somalia,5,,,,1,4,,0.3
Botswana,4,,1,,,3,,2
Gambia,4,,1,,2,1,,2
Belize,3,,,,,3,,8
British Virgin Islands,3,,,,,3,,99
CAR,3,,,,,3,,0.6
Anguilla,2,,,,,2,,133
Burundi,2,,,,,2,,0.2
Caribbean Netherlands,2,,,,,2,,76
St. Vincent Grenadines,2,,,,1,1,,18
Sierra Leone,2,,,,,2,,0.3
Papua New Guinea,1,,,,,1,,0.1
Timor-Leste,1,,,,,1,,0.8
China,"81,589",+35,"3,318",+6,"76,408","1,863",429,57
