country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
China,"81,218",+47,"3,281",+4,"73,650","4,287","1,399",56
Italy,"69,176",,"6,820",,"8,326","54,030","3,393","1,144"
USA,"54,935",+54,784,+4,379,"53,772","1,175",166
Spain,"42,058",,"2,991",,"3,794","35,273","2,636",900
Germany,"33,593",+602,164,+5,"3,299","30,130",23,401
Iran,"24,811",,"1,934",,"8,913","13,964",,295
France,"22,304",,"1,100",,"3,281","17,923","2,516",342
Switzerland,"9,991",+114,133,+11,131,"9,727",141,"1,154"
S. Korea,"9,137",+100,126,+6,"3,730","5,281",59,178
UK,"8,077",,422,,135,"7,520",20,119
Netherlands,"5,560",,276,,2,"5,282",435,324
Austria,"5,448",+165,30,+2,9,"5,409",26,605
Belgium,"4,269",,122,,461,"3,686",381,368
Norway,"2,868",+2,13,+1,6,"2,849",44,529
Canada,"2,792",,26,,112,"2,654",1,74
Australia,"2,423",+106,8,,118,"2,297",11,95
Portugal,"2,362",,33,,22,"2,307",48,232
Sweden,"2,300",+1,40,,16,"2,244",144,228
Brazil,"2,247",,46,,2,"2,199",18,11
Israel,"2,030",+100,5,+2,58,"1,967",37,235
Turkey,"1,872",,44,,,"1,828",,22
Malaysia,"1,796",+172,17,+1,183,"1,596",64,55
Denmark,"1,591",,32,,1,"1,558",69,275
Czechia,"1,497",+103,3,,10,"1,484",19,140
Ireland,"1,329",,7,,5,"1,317",29,269
Japan,"1,193",,43,,285,865,54,9
Luxembourg,"1,099",,8,,6,"1,085",3,"1,756"
Ecuador,"1,082",,27,,3,"1,052",2,61
Pakistan,"1,000",+28,7,,19,974,5,5
Thailand,934,+107,4,,70,860,11,13
Poland,927,+26,12,+2,1,914,3,24
Chile,922,,2,,17,903,7,48
Romania,794,,13,+1,79,702,15,41
Finland,792,,1,,10,781,11,143
Saudi Arabia,767,,1,,28,738,,22
Greece,743,,20,,29,694,35,71
Diamond Princess,712,,10,,587,115,15,
South Africa,709,+155,,,4,705,2,12
Indonesia,685,,58,+3,31,596,,3
Russia,658,+163,1,,29,628,8,5
Iceland,648,,2,,51,595,13,"1,899"
Philippines,636,+84,38,+3,26,572,1,6
India,562,+26,10,,40,512,,0.4
Singapore,558,,2,,156,400,17,95
Qatar,526,,,,41,485,6,183
Slovenia,480,,4,,3,473,12,231
Panama,443,,6,,1,436,33,103
Croatia,418,+36,1,,16,401,6,102
Peru,416,,7,,1,408,9,13
Mexico,405,+38,5,+1,4,396,1,3
Egypt,402,,20,,80,302,,4
Bahrain,392,,3,,177,212,2,230
Argentina,387,,6,,52,329,,9
Hong Kong,387,,4,,102,281,4,52
Colombia,378,,3,,6,369,,7
Estonia,369,,,,8,361,4,278
Lebanon,318,,4,,8,306,4,47
Iraq,316,,27,,75,214,,8
Dominican Republic,312,,6,,3,303,,29
Serbia,303,,4,+1,15,284,21,35
Armenia,265,+16,,,16,249,6,89
Algeria,264,,19,,65,180,,6
Lithuania,255,+46,3,+1,1,251,1,94
UAE,248,,2,,45,201,2,25
Taiwan,235,+19,2,,29,204,,10
Hungary,226,+39,10,+1,21,195,6,23
Latvia,221,+24,,,1,220,,117
Bulgaria,220,+2,3,,4,213,8,32
Slovakia,216,+12,,,7,209,2,40
New Zealand,205,,,,22,183,,43
Kuwait,195,+4,,,43,152,6,46
Uruguay,189,,,,,189,3,54
San Marino,187,,21,,4,162,12,"5,511"
Costa Rica,177,,2,,2,173,4,35
Morocco,170,,5,,6,159,1,5
Bosnia and Herzegovina,168,,3,,2,163,1,51
Andorra,164,,1,,1,162,7,"2,123"
Jordan,154,,,,1,153,,15
North Macedonia,148,,2,,1,145,1,71
Vietnam,134,,,,17,117,3,1
Faeroe Islands,132,+10,,,38,94,2,"2,701"
Moldova,125,,1,,2,122,20,31
Cyprus,124,,3,,3,118,3,103
