country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
China,"81,340",+55,"3,292",+5,"74,588","3,460","1,034",57
USA,"85,749",+314,"1,304",+9,"1,868","82,577","2,122",259
Italy,"80,589",,"8,215",,"10,361","62,013","3,612","1,333"
Spain,"64,059","+6,273","4,858",+493,"9,357","49,844","4,165","1,370"
Germany,"47,278","+3,340",281,+14,"5,673","41,324",23,564
Iran,"32,332","+2,926","2,378",+144,"11,133","18,821","2,893",385
France,"29,155",,"1,696",,"4,948","22,511","3,375",447
Switzerland,"11,951",+140,197,+5,897,"10,857",203,"1,381"
UK,"11,658",,578,,135,"10,945",163,172
S. Korea,"9,332",+91,139,+8,"4,528","4,665",59,182
Netherlands,"7,431",,434,,3,"6,994",761,434
Austria,"7,317",+408,58,+9,225,"7,034",128,812
Belgium,"7,284","+1,049",289,+69,858,"6,137",690,628
Canada,"4,043",,39,,228,"3,776",120,107
Turkey,"3,629",,75,,26,"3,528",136,43
Portugal,"3,544",,60,,43,"3,441",61,348
Norway,"3,443",+71,16,+2,6,"3,421",70,635
Australia,"3,180",+130,13,,170,"2,997",23,125
Israel,"3,035",+342,10,+2,79,"2,946",49,351
Brazil,"2,988",+3,77,,6,"2,905",296,14
Sweden,"2,893",+53,77,,16,"2,800",214,286
Malaysia,"2,161",+130,26,+3,259,"1,876",54,67
Czechia,"2,062",+137,9,,10,"2,043",34,193
Denmark,"2,010",+133,41,,1,"1,968",94,347
Ireland,"1,819",,19,,5,"1,795",47,368
Luxembourg,"1,453",,9,,6,"1,438",3,"2,321"
Ecuador,"1,403",,34,,3,"1,366",58,80
Japan,"1,387",,47,,359,981,57,11
Chile,"1,306",,4,,22,"1,280",7,68
Romania,"1,292",+263,24,+1,115,"1,153",32,67
Pakistan,"1,252",+51,9,,23,"1,220",7,6
Poland,"1,244",+23,16,,7,"1,221",3,33
Thailand,"1,136",+91,5,+1,97,"1,034",11,16
Indonesia,"1,046",+153,87,+9,46,913,,4
Finland,"1,038",+80,5,,10,"1,023",24,187
Russia,"1,036",+196,3,,45,988,8,7
