country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
World,"1,182,830","+66,187","63,925","+4,755","244,232","874,673","41,965",152
USA,"301,147","+23,986","8,173",+769,"14,518","278,456","7,973",910
Spain,"124,736","+5,537","11,744",+546,"34,219","78,773","6,416","2,668"
Italy,"124,632","+4,805","15,362",+681,"20,996","88,274","3,994","2,061"
Germany,"92,150",+991,"1,330",+55,"26,400","64,420","3,936","1,100"
France,"89,953","+7,788","7,560","+1,053","15,438","66,955","6,838","1,378"
Iran,"55,743","+2,560","3,452",+158,"19,736","32,555","4,103",664
UK,"41,903","+3,735","4,313",+708,135,"37,455",163,617
Turkey,"23,934","+3,013",501,+76,786,"22,647","1,311",284
Switzerland,"20,278",+672,641,+50,"4,846","14,791",391,"2,343"
Belgium,"18,431","+1,661","1,283",+140,"3,247","13,901","1,245","1,590"
Netherlands,"16,627",+904,"1,651",+164,250,"14,726","1,360",970
Canada,"13,860","+1,485",228,+20,"2,559","11,073",120,367
Austria,"11,781",+257,186,+18,"2,507","9,088",245,"1,308"
Portugal,"10,524",+638,266,+20,75,"10,183",251,"1,032"
S. Korea,"10,156",+94,177,+3,"6,325","3,654",55,198
Brazil,"9,391",+197,376,+13,127,"8,888",296,44
Israel,"7,851",+423,44,+4,427,"7,380",115,907
Sweden,"6,443",+312,373,+15,205,"5,865",379,638
Norway,"5,550",+180,62,+3,32,"5,456",98,"1,024"
Australia,"5,550",+96,30,+2,585,"4,935",85,218
Russia,"4,731",+582,43,+9,333,"4,355",8,32
Ireland,"4,604",+331,137,+17,25,"4,442",148,932
Czechia,"4,362",+172,59,+6,78,"4,225",87,407
Chile,"4,161",+424,27,+5,528,"3,606",38,218
Denmark,"4,077",+320,161,+22,"1,283","2,633",142,704
Poland,"3,627",+244,79,+8,116,"3,432",50,96
Romania,"3,613",+430,146,+13,329,"3,138",119,188
Malaysia,"3,483",+150,57,+4,915,"2,511",99,108
Ecuador,"3,465",+97,172,+27,65,"3,228",100,196
Philippines,"3,094",+76,144,+8,57,"2,893",1,28
India,"3,082",+23,86,,229,"2,767",,2
Japan,"2,935",,69,,514,"2,352",60,23
Pakistan,"2,818",+132,41,+1,131,"2,646",13,13
Luxembourg,"2,729",+117,31,,500,"2,198",35,"4,360"
Saudi Arabia,"2,179",+140,29,+4,420,"1,730",41,63
Indonesia,"2,092",+106,191,+10,150,"1,751",,8
Thailand,"2,067",+89,20,+1,674,"1,373",23,30
Finland,"1,882",+267,25,+5,300,"1,557",72,340
Peru,"1,746",+151,61,,914,771,88,53
Mexico,"1,688",+178,60,+10,633,995,1,13
Greece,"1,673",+60,68,+5,78,"1,527",92,161
Panama,"1,673",,41,,13,"1,619",50,388
Serbia,"1,624",+148,44,+5,54,"1,526",89,186
UAE,"1,505",+241,10,+1,125,"1,370",2,152
South Africa,"1,505",,9,,95,"1,401",7,25
Dominican Republic,"1,488",,68,,16,"1,404",147,137
Iceland,"1,417",+53,4,,396,"1,017",12,"4,152"
Argentina,"1,353",,42,,266,"1,045",,30
Qatar,"1,325",+250,3,,109,"1,213",37,460
Colombia,"1,267",,25,,55,"1,187",50,25
Algeria,"1,251",+80,130,+25,90,"1,031",,29
Singapore,"1,189",+75,6,+1,297,886,24,203
Croatia,"1,126",+47,12,+4,119,995,39,274
Ukraine,"1,115",+43,28,+1,23,"1,064",16,25
Egypt,"1,070",+85,71,+5,241,758,,10
Estonia,"1,039",+78,13,+1,59,967,20,783
Slovenia,977,+43,22,+2,79,876,31,470
New Zealand,950,+82,1,,127,822,1,197
Morocco,883,+92,58,+10,65,760,1,24
Iraq,878,+58,56,+2,259,563,,22
Hong Kong,862,+17,4,,173,685,8,115
Lithuania,771,+75,11,+2,7,753,11,283
Armenia,770,+34,7,,43,720,30,260
Moldova,752,+161,12,+4,29,711,65,186
Diamond Princess,712,,11,,619,82,10,
Bahrain,688,+16,4,,423,261,3,404
Hungary,678,+55,32,+6,58,588,17,70
Bosnia and Herzegovina,617,+38,19,+2,28,570,4,188
Tunisia,553,+58,19,+1,5,529,26,47
Kazakhstan,525,+61,5,+2,36,484,6,28
Azerbaijan,521,+78,5,,32,484,17,51
Lebanon,520,+12,17,,54,449,26,76
Cameroon,509,,8,,17,484,,19
Latvia,509,+16,1,,1,507,3,270
Bulgaria,503,+18,17,+3,34,452,26,72
North Macedonia,483,+53,17,+5,20,446,11,232
Kuwait,479,+62,1,+1,93,385,17,112
Slovakia,471,+21,1,,10,460,3,86
Andorra,466,+27,17,+1,21,428,12,"6,031"
Belarus,440,+89,5,+1,53,382,11,47
Cyprus,426,+30,11,,33,382,11,353
Costa Rica,416,,2,,11,403,13,82
Uruguay,386,,4,,86,296,13,111
Taiwan,355,+7,5,,50,300,,15
Réunion,334,+13,,,40,294,4,373
Albania,333,+29,18,+1,99,216,7,116
Jordan,323,+13,5,,74,244,5,32
Burkina Faso,318,+16,16,,66,236,,15
Afghanistan,299,+18,7,+1,10,282,,8
Cuba,288,+19,6,,15,267,11,25
Oman,277,+25,2,+1,61,214,3,54
Uzbekistan,266,+39,2,,25,239,8,8
Honduras,264,+42,15,,3,246,10,27
San Marino,251,,32,,26,193,13,"7,397"
Vietnam,240,+1,,,90,150,3,2
Channel Islands,232,,5,+1,13,214,,"1,334"
Senegal,219,+12,2,+1,72,145,1,13
Ivory Coast,218,,1,,19,198,,8
Palestine,216,+22,1,,21,194,,42
Malta,213,+11,,,2,211,3,482
Nigeria,210,,4,,25,181,2,1
Ghana,205,,5,,31,169,2,7
Montenegro,201,+27,2,,1,198,4,320
Mauritius,196,+10,7,,,189,1,154
Faeroe Islands,181,+2,,,93,88,2,"3,704"
Sri Lanka,166,+7,5,+1,27,134,5,8
Georgia,162,+7,1,+1,36,125,6,41
Venezuela,155,+2,7,,52,96,6,5
DRC,148,,16,,3,129,,2
Kyrgyzstan,144,+14,1,,9,134,5,22
Martinique,143,,3,,27,113,18,381
Bolivia,139,+7,10,+1,1,128,3,12
Brunei ,135,+1,1,,66,68,3,309
Mayotte,134,+6,2,,14,118,3,491
Guadeloupe,130,,7,,24,99,14,325
Kenya,126,+4,4,,4,118,2,2
Isle of Man,126,+12,1,,,125,,"1,482"
Niger,120,,5,,,115,,5
Cambodia,114,,,,50,64,1,7
Trinidad and Tobago,101,+3,6,,1,94,,72
Gibraltar,98,+3,,,52,46,,"2,909"
Paraguay,96,+4,3,,12,81,2,13
Rwanda,89,,,,,89,,7
Liechtenstein,77,+2,,,,77,,"2,020"
Guinea,73,,,,2,71,,6
Bangladesh,70,+9,8,+2,30,32,1,0.4
Madagascar,70,,,,,70,6,3
Monaco,64,,1,,3,60,2,"1,631"
Aruba,64,+2,,,1,63,,599
Guatemala,57,+7,2,+1,15,40,1,3
French Guiana,57,,,,22,35,1,191
El Salvador,56,+10,3,,,53,4,9
Jamaica,53,,3,,7,43,,18
Barbados,52,+1,,,,52,,181
Djibouti,50,+1,,,8,42,,51
Uganda,48,,,,,48,,1
Macao,43,+1,,,10,33,,66
Mali,41,+2,3,,1,37,,2
Togo,41,+1,3,,17,21,,5
Zambia,39,,1,,2,36,,2
French Polynesia,39,,,,,39,1,139
Ethiopia,38,+3,,,4,34,1,0.3
Bermuda,35,,,,14,21,,562
Cayman Islands,29,,1,,1,27,,441
Eritrea,29,+7,,,,29,,8
Bahamas,24,,3,,,21,1,61
Saint Martin,24,+2,2,+1,5,17,6,621
Guyana,23,,4,,,19,,29
Sint Maarten,23,,4,,6,13,,536
Congo,22,,2,,2,18,,4
Gabon,21,,1,,1,19,,9
Myanmar,21,+1,1,,,20,,0.4
Tanzania,20,,1,,3,16,,0.3
Haiti,20,+2,,,1,19,,2
Maldives,19,,,,13,6,,35
Guinea-Bissau,18,+3,,,,18,,9
New Caledonia,18,,,,1,17,,63
Libya,17,,1,,,16,,2
Syria,16,,2,,2,12,,0.9
Benin,16,,,,2,14,,1
Equatorial Guinea,16,,,,1,15,,11
Antigua and Barbuda,15,,,,,15,1,153
Dominica,14,,,,,14,,194
Mongolia,14,,,,2,12,,4
Namibia,14,,,,3,11,,6
Saint Lucia,13,,,,1,12,,71
Fiji,12,+5,,,,12,,13
Grenada,12,,,,,12,2,107
Curaçao,11,,1,,3,7,,67
Greenland,11,+1,,,3,8,,194
Angola,10,+2,2,,2,6,,0.3
Sudan,10,,2,,2,6,,0.2
Liberia,10,+3,1,+1,3,6,,2
Suriname,10,,1,,,9,,17
Laos,10,,,,,10,,1
Mozambique,10,,,,1,9,,0.3
Seychelles,10,,,,,10,,102
MS Zaandam,9,,2,,,7,,
Zimbabwe,9,,1,,,8,,0.6
Nepal,9,+3,,,1,8,,0.3
Chad,9,+1,,,,9,,0.5
Saint Kitts and Nevis,9,,,,,9,,169
Eswatini,9,,,,,9,,8
CAR,8,,,,,8,,2
Cabo Verde,7,+1,1,,,6,,13
Vatican City,7,,,,,7,,"8,739"
St. Vincent Grenadines,7,,,,1,6,,63
Somalia,7,,,,1,6,,0.4
Mauritania,6,,1,,2,3,,1
Montserrat,6,,,,,6,,"1,202"
St. Barth,6,,,,1,5,,607
Nicaragua,5,,1,,,4,,0.8
Bhutan,5,,,,2,3,,6
Turks and Caicos,5,,,,,5,,129
Botswana,4,,1,,,3,,2
Gambia,4,,1,,2,1,,2
Belize,4,,,,,4,,10
Malawi,4,+1,,,,4,,0.2
Sierra Leone,4,+2,,,,4,,0.5
Anguilla,3,,,,,3,,200
British Virgin Islands,3,,,,,3,,99
Burundi,3,,,,,3,,0.3
Caribbean Netherlands,2,,,,,2,,76
Falkland Islands,1,,,,,1,,287
Papua New Guinea,1,,,,,1,,0.1
Timor-Leste,1,,,,,1,,0.8
China,"81,639",+19,"3,326",+4,"76,755","1,558",331,57
