country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
Greece,"1,884",+52,83,+2,269,"1,532",84,181
South Africa,"1,845",+96,18,+5,95,"1,732",7,31
Colombia,"1,780",,50,,100,"1,630",76,35
Argentina,"1,715",,63,+3,358,"1,294",96,38
Ukraine,"1,668",+206,52,+7,35,"1,581",33,38
Singapore,"1,623",+142,6,,406,"1,211",29,277
Iceland,"1,616",+30,6,,633,977,13,"4,736"
Algeria,"1,572",+104,205,+12,237,"1,130",46,36
Egypt,"1,560",+110,103,+9,305,"1,152",,15
Croatia,"1,343",+61,19,+1,179,"1,145",36,327
Morocco,"1,275",+91,93,+3,97,"1,085",1,35
New Zealand,"1,210",+50,1,,282,927,4,251
Iraq,"1,202",+80,69,+4,452,681,,30
Estonia,"1,185",+36,24,+3,72,"1,089",11,893
Moldova,"1,174",+118,27,+5,40,"1,107",80,291
Slovenia,"1,091",+32,40,+4,120,931,35,525
Belarus,"1,066",+205,13,,77,976,33,113
Hong Kong,961,+25,4,,264,693,14,128
Lithuania,912,+32,15,,8,889,21,335
Hungary,895,+78,58,+11,94,743,17,93
Armenia,881,+28,9,+1,114,758,30,297
Kuwait,855,+112,1,,111,743,21,200
Bahrain,823,+12,5,,477,341,3,484
Azerbaijan,822,+105,8,,63,751,23,81
Bosnia and Herzegovina,803,+39,34,+1,79,690,4,245
Kazakhstan,718,+21,7,+1,54,657,21,38
Diamond Princess,712,,11,,619,82,10,
Cameroon,685,,9,,60,616,,26
Slovakia,682,+101,2,,16,664,3,125
Tunisia,623,,23,,25,575,67,53
North Macedonia,617,+18,29,+3,35,553,15,296
Bulgaria,593,+16,24,+1,42,527,27,85
Latvia,577,+29,2,,16,559,5,306
Lebanon,576,+28,19,,62,495,29,84
Andorra,564,+19,23,+1,52,489,17,"7,300"
Uzbekistan,545,+25,3,+1,30,512,8,16
Cyprus,526,+32,9,,52,465,13,436
Costa Rica,502,+19,2,,29,471,15,99
Cuba,457,+61,12,+1,27,418,15,40
Afghanistan,444,+21,14,,29,401,,11
Uruguay,424,,7,,150,267,14,122
Oman,419,+48,2,,72,345,3,82
Burkina Faso,414,+30,23,+4,134,257,,20
Albania,400,+17,22,,154,224,7,139
Taiwan,379,+3,5,,67,307,,16
Jordan,358,+5,6,,150,202,5,35
Réunion,358,,,,40,318,4,400
Channel Islands,351,+16,8,+1,38,305,,"2,019"
Ivory Coast,349,,3,,41,305,,13
Ghana,313,+26,6,+1,34,273,2,10
Honduras,312,+7,22,,6,284,10,32
Malta,299,+6,1,+1,5,293,4,677
San Marino,279,,34,,40,205,14,"8,223"
Niger,278,,11,,26,241,,11
Mauritius,273,+5,7,,19,247,3,215
Kyrgyzstan,270,+42,4,,33,233,5,41
Palestine,263,+2,1,,44,218,,52
Nigeria,254,,6,,44,204,2,1
Vietnam,251,,,,126,125,8,3
Montenegro,248,+7,2,,4,242,7,395
Senegal,244,+7,2,,113,129,1,15
Bangladesh,218,+54,20,+3,33,165,1,1
Georgia,211,+15,3,,50,158,6,53
Bolivia,210,+16,15,+1,2,193,3,18
Sri Lanka,189,+4,7,+1,44,138,5,9
Faeroe Islands,184,,,,131,53,1,"3,766"
DRC,180,,18,,9,153,,2
Kenya,179,+7,6,,9,164,2,3
Mayotte,171,,2,,22,147,3,627
Venezuela,166,,7,,65,94,6,6
Isle of Man,158,+8,1,,82,75,7,"1,858"
Martinique,152,,4,,50,98,20,405
Guinea,144,,,,5,139,,11
Guadeloupe,139,,7,,31,101,14,347
Brunei ,135,,1,,91,43,3,309
Djibouti,135,+45,,,25,110,,137
Gibraltar,120,+7,,,60,60,,"3,562"
Paraguay,119,+4,5,,15,99,1,17
Cambodia,117,+2,,,63,54,1,7
Rwanda,110,+5,,,7,103,,8
Trinidad and Tobago,107,,8,,1,98,,76
El Salvador,93,+15,5,+1,9,79,2,14
Madagascar,93,+5,,,11,82,1,3
Guatemala,87,+10,3,,17,67,3,5
Monaco,81,+2,1,,4,76,4,"2,064"
Liechtenstein,78,,1,,55,22,,"2,046"
Aruba,77,+3,,,14,63,,721
French Guiana,77,,,,34,43,1,258
Togo,70,+5,3,,23,44,,8
Barbados,63,,3,,6,54,4,219
Jamaica,63,,3,,10,50,,21
Mali,59,+3,7,+2,16,36,,3
Ethiopia,55,+3,2,,4,49,1,0.5
Uganda,53,+1,,,,53,,1
French Polynesia,51,+4,,,,51,,182
Congo,45,,5,,2,38,,8
Cayman Islands,45,,1,,6,38,,685
Macao,45,+1,,,10,35,1,69
Sint Maarten,40,,6,,1,33,2,933
Bermuda,39,,2,,17,20,,626
Zambia,39,,1,,7,31,1,2
Bahamas,36,+3,6,,5,25,1,92
Guyana,33,,6,+1,8,19,4,42
Guinea-Bissau,33,,,,,33,,17
Saint Martin,32,,2,,7,23,6,828
Liberia,31,+17,4,+1,3,24,,6
Eritrea,31,,,,,31,,9
Gabon,30,,1,,1,28,,13
Haiti,27,+2,1,,,26,,2
Benin,26,,1,,5,20,,2
Tanzania,25,+1,1,,5,19,,0.4
Myanmar,22,,3,+2,,19,,0.4
Libya,21,+1,1,,2,18,,3
Antigua and Barbuda,19,,2,+1,,17,1,194
Syria,19,,2,,3,14,,1
Maldives,19,,,,13,6,,35
New Caledonia,18,,,,1,17,,63
Angola,17,,2,,2,13,,0.5
Mozambique,17,+7,,,1,16,,0.5
Equatorial Guinea,16,,,,3,13,,11
Mongolia,16,+1,,,4,12,,5
Namibia,16,,,,3,13,,6
Dominica,15,,,,1,14,,208
Fiji,15,,,,,15,,17
Laos,15,+1,,,,15,,2
Sudan,14,,2,,2,10,,0.3
Saint Lucia,14,,,,1,13,,76
Curaçao,13,,1,,7,5,,79
Somalia,12,+4,1,+1,1,10,,0.8
Grenada,12,,,,,12,2,107
Eswatini,12,+2,,,7,5,,10
Zimbabwe,11,,3,+1,,8,,0.7
Greenland,11,,,,11,0,,194
Saint Kitts and Nevis,11,,,,,11,,207
Seychelles,11,,,,,11,,112
Suriname,10,,1,,3,6,,17
Chad,10,,,,2,8,,0.6
MS Zaandam,9,,2,,,7,,
Nepal,9,,,,1,8,,0.3
Montserrat,9,,,,,9,1,"1,803"
Belize,8,+1,1,,,7,1,20
Malawi,8,,1,,,7,1,0.4
Turks and Caicos,8,,1,,,7,,207
CAR,8,,,,,8,,2
Vatican City,8,+1,,,2,6,,"9,988"
St. Vincent Grenadines,8,,,,1,7,,72
Cabo Verde,7,,1,,1,5,,13
Sierra Leone,7,+1,,,,7,,0.9
Botswana,6,,1,,,5,,3
Mauritania,6,,1,,2,3,,1
Nicaragua,6,,1,,,5,,0.9
St. Barth,6,,,,1,5,,607
Bhutan,5,,,,2,3,,6
Falkland Islands,5,+3,,,1,4,,"1,437"
Gambia,4,,1,,2,1,,2
Sao Tome and Principe,4,,,,,4,,18
Western Sahara,4,,,,,4,,7
Anguilla,3,,,,,3,,200
British Virgin Islands,3,,,,,3,,99
Burundi,3,,,,,3,,0.3
Caribbean Netherlands,2,,,,,2,,76
Papua New Guinea,2,,,,,2,,0.2
South Sudan,2,,,,,2,,0.2
Saint Pierre Miquelon,1,,,,,1,,173
Timor-Leste,1,,,,,1,,0.8
China,"81,802",+62,"3,333",+2,"77,279","1,190",189,57
