country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
World,"1,444,822","+13,903","83,103","+1,069","309,111","1,052,608","47,980",185
USA,"400,549",+214,"12,857",+16,"21,711","365,981","9,169","1,210"
Spain,"146,690","+4,748","14,555",+510,"48,021","84,114","7,069","3,137"
Italy,"135,586",,"17,127",,"24,392","94,067","3,792","2,243"
France,"109,069",,"10,328",,"19,337","79,404","7,131","1,671"
Germany,"107,663",,"2,016",,"36,081","69,566","4,895","1,285"
Iran,"64,586","+1,997","3,993",+121,"27,039","33,554","3,987",769
UK,"55,242",,"6,159",,135,"48,948","1,559",814
Turkey,"34,109",,725,,"1,582","31,802","1,474",404
Belgium,"23,403","+1,209","2,240",+205,"4,681","16,482","1,276","2,019"
Switzerland,"22,789",+536,846,+25,"8,704","13,239",391,"2,633"
Netherlands,"19,580",,"2,101",,250,"17,229","1,424","1,143"
Canada,"17,897",,381,,"4,028","13,488",426,474
Brazil,"14,072",+38,691,+5,127,"13,254",296,66
Austria,"12,782",+143,273,+30,"4,512","7,997",267,"1,419"
Portugal,"12,442",,345,,184,"11,913",271,"1,220"
S. Korea,"10,384",+53,200,+8,"6,776","3,408",55,203
Israel,"9,404",+156,72,+7,801,"8,531",147,"1,086"
Russia,"8,672","+1,175",63,+5,580,"8,029",8,59
Sweden,"7,693",,591,,205,"6,897",640,762
Norway,"6,086",,93,+4,32,"5,961",78,"1,123"
Australia,"6,013",+25,50,+1,"2,813","3,150",87,236
Ireland,"5,709",,210,,25,"5,474",165,"1,156"
Denmark,"5,386",+315,218,+15,"1,621","3,547",127,930
India,"5,360",+9,164,+4,468,"4,728",,4
Chile,"5,116",,43,,898,"4,175",337,268
Czechia,"5,033",+16,91,+3,181,"4,761",103,470
Poland,"5,000",+152,136,+7,220,"4,644",160,132
Romania,"4,761",+344,209,+12,528,"4,024",162,247
Japan,"4,257",,93,,622,"3,542",80,34
Malaysia,"4,119",+156,65,+2,"1,487","2,567",76,127
Pakistan,"4,072",+37,58,+1,467,"3,547",25,18
Ecuador,"3,995",,220,,140,"3,635",156,226
Philippines,"3,870",+106,182,+5,96,"3,592",1,35
Luxembourg,"2,970",,44,,500,"2,426",35,"4,745"
Indonesia,"2,956",+218,240,+19,222,"2,494",,11
Peru,"2,954",,107,,"1,301","1,546",109,90
Saudi Arabia,"2,795",,41,,615,"2,139",41,80
Mexico,"2,785",+346,141,+16,633,"2,011",89,22
Finland,"2,487",+179,34,,300,"2,153",81,449
Serbia,"2,447",,61,,118,"2,268",109,280
Thailand,"2,369",+111,30,+3,888,"1,451",61,34
UAE,"2,359",,12,,186,"2,161",1,239
Panama,"2,249",+149,59,+4,16,"2,174",91,521
Qatar,"2,210",+153,6,,178,"2,026",37,767
Dominican Republic,"1,956",,98,,36,"1,822",147,180
Greece,"1,832",,81,,269,"1,482",90,176
Colombia,"1,780",,50,,100,"1,630",76,35
South Africa,"1,749",,13,,95,"1,641",7,29
Argentina,"1,715",,60,,338,"1,317",96,38
Ukraine,"1,668",+206,52,+7,35,"1,581",33,38
Iceland,"1,586",,6,,559,"1,021",11,"4,648"
Singapore,"1,481",,6,,377,"1,098",29,253
Algeria,"1,468",,193,,113,"1,162",46,33
Egypt,"1,450",,94,,276,"1,080",,14
Croatia,"1,282",,18,,167,"1,097",35,312
Morocco,"1,242",+58,91,+1,97,"1,054",1,34
New Zealand,"1,210",+50,1,,282,927,4,251
Estonia,"1,185",+36,24,+3,72,"1,089",11,893
Iraq,"1,122",,65,,373,684,,28
Slovenia,"1,091",+32,40,+4,120,931,35,525
Belarus,"1,066",+205,13,,77,976,33,113
Moldova,"1,056",,24,+2,40,992,80,262
Hong Kong,961,+25,4,,264,693,14,128
Lithuania,912,+32,15,,8,889,21,335
Hungary,895,+78,58,+11,94,743,17,93
Armenia,881,+28,9,+1,114,758,30,297
Kuwait,855,+112,1,,111,743,21,200
Bahrain,811,,5,,465,341,3,477
Bosnia and Herzegovina,777,+13,33,,77,667,4,237
Azerbaijan,717,,8,,44,665,23,71
Diamond Princess,712,,11,,619,82,10,
Kazakhstan,709,+12,7,+1,54,648,21,38
Cameroon,685,,9,,60,616,,26
Tunisia,623,,23,,25,575,67,53
North Macedonia,599,,26,,30,543,15,288
Bulgaria,581,+4,23,,42,516,21,84
Slovakia,581,,2,,13,566,3,106
Latvia,577,+29,2,,16,559,5,306
Lebanon,575,+27,19,,62,494,29,84
Andorra,545,,22,,39,484,17,"7,054"
Uzbekistan,534,+14,3,+1,30,501,8,16
Cyprus,494,,9,,47,438,13,409
Costa Rica,483,,2,,24,457,14,95
Uruguay,424,,7,,150,267,14,122
Afghanistan,423,,14,,18,391,,11
Oman,419,+48,2,,72,345,3,82
Albania,400,+17,22,,154,224,7,139
Cuba,396,,11,,27,358,15,35
Burkina Faso,384,,19,,127,238,,18
Taiwan,379,+3,5,,67,307,,16
Réunion,358,,,,40,318,4,400
Jordan,353,,6,,138,209,5,35
Ivory Coast,349,,3,,41,305,,13
Channel Islands,335,,7,,34,294,,"1,927"
Honduras,312,+7,22,,6,284,10,32
Malta,299,+6,,,5,294,4,677
Ghana,287,,5,,31,251,2,9
San Marino,279,,34,,40,205,14,"8,223"
Niger,278,,11,,26,241,,11
Kyrgyzstan,270,+42,4,,33,233,5,41
Mauritius,268,,7,,8,253,3,211
Palestine,263,+2,1,,44,218,,52
Nigeria,254,,6,,44,204,2,1
Vietnam,251,,,,126,125,8,3
Montenegro,248,+7,2,,4,242,7,395
Senegal,237,,2,,105,130,1,14
Bangladesh,218,+54,20,+3,33,165,1,1
Bolivia,210,+16,15,+1,2,193,3,18
Georgia,208,+12,3,,48,157,6,52
Sri Lanka,188,+3,6,,42,140,5,9
Faeroe Islands,184,,,,131,53,1,"3,766"
DRC,180,,18,,9,153,,2
Kenya,172,,6,,7,159,2,3
Mayotte,171,,2,,22,147,3,627
Venezuela,166,,7,,65,94,6,6
Isle of Man,158,+8,1,,80,77,7,"1,858"
Martinique,152,,4,,50,98,20,405
Guinea,144,,,,5,139,,11
Guadeloupe,139,,7,,31,101,14,347
Brunei ,135,,1,,91,43,3,309
Djibouti,121,+31,,,18,103,,122
Paraguay,119,+4,5,,15,99,1,17
Cambodia,117,+2,,,63,54,1,7
Gibraltar,113,,,,60,53,,"3,354"
Trinidad and Tobago,107,,8,,1,98,,76
Rwanda,105,,,,7,98,,8
El Salvador,93,+15,5,+1,9,79,2,14
Madagascar,93,+5,,,11,82,1,3
Guatemala,80,+3,3,,17,60,3,4
Monaco,79,,1,,4,74,4,"2,013"
Liechtenstein,78,,1,,55,22,,"2,046"
French Guiana,77,,,,34,43,1,258
Aruba,74,,,,14,60,,693
Togo,65,,3,,23,39,,8
Barbados,63,,3,,6,54,4,219
Jamaica,63,,3,,9,51,,21
Mali,56,,5,,12,39,,3
Ethiopia,55,+3,2,,4,49,1,0.5
Uganda,52,,,,,52,,1
French Polynesia,47,,,,,47,,167
Congo,45,,5,,2,38,,8
Cayman Islands,45,,1,,6,38,,685
Macao,45,+1,,,10,35,1,69
Sint Maarten,40,,6,,1,33,2,933
Bermuda,39,,2,,17,20,,626
Zambia,39,,1,,7,31,,2
Bahamas,36,+3,6,,5,25,1,92
Guyana,33,,5,,8,20,4,42
Guinea-Bissau,33,,,,,33,,17
Saint Martin,32,,2,,7,23,6,828
Eritrea,31,,,,,31,,9
Gabon,30,,1,,1,28,,13
Benin,26,,1,,5,20,,2
Haiti,25,,1,,,24,,2
Tanzania,24,,1,,5,18,,0.4
Myanmar,22,,3,+2,,19,,0.4
Libya,20,,1,,1,18,,3
Antigua and Barbuda,19,,2,+1,,17,1,194
Syria,19,,2,,3,14,,1
Maldives,19,,,,13,6,,35
New Caledonia,18,,,,1,17,,63
Angola,17,,2,,2,13,,0.5
Equatorial Guinea,16,,,,3,13,,11
Mongolia,16,+1,,,4,12,,5
Namibia,16,,,,3,13,,6
Dominica,15,,,,1,14,,208
Fiji,15,,,,,15,,17
Laos,15,+1,,,,15,,2
Liberia,14,,3,,3,8,,3
Sudan,14,,2,,2,10,,0.3
Saint Lucia,14,,,,1,13,,76
Curaçao,13,,1,,7,5,,79
Grenada,12,,,,,12,2,107
Zimbabwe,11,,2,,,9,,0.7
Greenland,11,,,,10,1,,194
Saint Kitts and Nevis,11,,,,,11,,207
Seychelles,11,,,,,11,,112
Suriname,10,,1,,3,6,,17
Chad,10,,,,2,8,,0.6
Mozambique,10,,,,1,9,,0.3
Eswatini,10,,,,4,6,,9
MS Zaandam,9,,2,,,7,,
Nepal,9,,,,1,8,,0.3
Montserrat,9,,,,,9,1,"1,803"
Malawi,8,,1,,,7,1,0.4
Turks and Caicos,8,,1,,,7,,207
CAR,8,,,,,8,,2
St. Vincent Grenadines,8,,,,1,7,,72
Somalia,8,,,,1,7,,0.5
Belize,7,,1,,,6,1,18
Cabo Verde,7,,1,,1,5,,13
Vatican City,7,,,,,7,,"8,739"
Sierra Leone,7,+1,,,,7,,0.9
Botswana,6,,1,,,5,,3
Mauritania,6,,1,,2,3,,1
Nicaragua,6,,1,,,5,,0.9
St. Barth,6,,,,1,5,,607
Bhutan,5,,,,2,3,,6
