country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
China,"81,285",+67,"3,287",+6,"74,051","3,947","1,235",56
Italy,"74,386",,"7,503",,"9,362","57,521","3,489","1,230"
USA,"68,905",+694,"1,037",+10,428,"67,440","1,455",208
Spain,"56,188","+6,673","4,089",+442,"7,015","45,084","3,166","1,202"
Germany,"40,585","+3,262",229,+23,"5,669","34,687",23,484
Iran,"29,406","+2,389","2,234",+157,"10,457","16,715","2,746",350
France,"25,233",,"1,331",,"3,900","20,002","2,827",387
Switzerland,"11,575",+678,172,+19,131,"11,272",141,"1,337"
UK,"9,529",,465,,135,"8,929",163,140
S. Korea,"9,241",+104,131,+5,"4,144","4,966",59,180
Netherlands,"7,431","+1,019",434,+78,3,"6,994",582,434
Austria,"6,398",+810,49,+18,112,"6,237",28,710
Belgium,"6,235","+1,298",220,+42,675,"5,340",605,538
Portugal,"3,544",+549,60,+17,43,"3,441",61,348
Canada,"3,409",,36,,185,"3,188",35,90
Norway,"3,279",+195,14,,6,"3,259",70,605
Sweden,"2,840",+314,70,+8,16,"2,754",176,281
Australia,"2,806",+130,13,+2,170,"2,623",11,110
Israel,"2,666",+297,8,+3,68,"2,590",39,308
Brazil,"2,589",+35,61,+2,6,"2,522",18,12
Turkey,"2,433",,59,,26,"2,348",136,29
Malaysia,"2,031",+235,23,+3,215,"1,793",45,63
Denmark,"1,851",+127,41,+7,1,"1,809",94,320
Czechia,"1,775",+121,6,,10,"1,759",34,166
Ireland,"1,564",,9,,5,"1,550",39,317
Luxembourg,"1,333",,8,,6,"1,319",3,"2,129"
Japan,"1,307",,45,,310,952,57,10
Chile,"1,306",+164,4,+1,22,"1,280",7,68
Ecuador,"1,211",,29,,3,"1,179",2,69
Pakistan,"1,130",+67,9,+1,21,"1,100",5,5
Poland,"1,120",+69,14,,7,"1,099",3,30
Thailand,"1,045",+111,4,,88,953,4,15
Romania,"1,029",+123,18,+1,94,917,29,53
Saudi Arabia,"1,012",+112,3,+1,33,976,6,29
Finland,958,+78,5,+2,10,943,24,173
South Africa,900,+191,,,12,888,2,15
Indonesia,893,+103,78,+20,35,780,,3
Russia,840,+182,3,,38,799,8,6
Greece,821,,23,+1,36,762,53,79
Iceland,802,+65,2,,68,732,11,"2,350"
India,719,+62,16,+4,45,658,,0.5
Diamond Princess,712,,10,,597,105,15,
Philippines,707,+71,45,+7,28,634,1,6
Singapore,683,+52,2,,172,509,17,117
Panama,558,,8,,2,548,20,129
Estonia,538,+134,1,,8,529,6,406
Qatar,537,,,,41,496,6,186
Slovenia,528,,6,+1,10,512,14,254
Argentina,502,,8,,52,442,,11
Croatia,495,+53,2,+1,22,471,14,121
Peru,480,,9,,1,470,9,15
Mexico,475,+70,6,+1,4,465,1,4
Colombia,470,,4,,8,458,,9
Serbia,457,+73,7,+3,15,435,21,52
Bahrain,457,+38,4,,204,249,1,269
Egypt,456,,21,,95,340,,4
Hong Kong,453,+42,4,,110,339,5,60
Dominican Republic,392,,10,,3,379,,36
Iraq,382,+36,36,+7,105,241,,9
Lebanon,368,+35,6,,20,342,3,54
UAE,333,,2,,52,279,2,34
Algeria,302,,21,,24,257,,7
Lithuania,290,+16,4,,1,285,1,107
Armenia,290,+25,1,+1,18,271,6,98
New Zealand,283,,,,27,256,,59
Bulgaria,264,+22,3,,4,257,8,38
Hungary,261,+35,10,,28,223,6,27
Taiwan,252,+17,2,,29,221,,11
Latvia,244,+23,,,1,243,,129
Slovakia,226,+10,,,2,224,2,41
Morocco,225,,6,,7,212,1,6
Andorra,224,+36,3,+2,1,220,6,"2,899"
Uruguay,217,,,,,217,3,62
San Marino,208,,21,,4,183,12,"6,130"
Kuwait,208,+13,,,49,159,7,49
North Macedonia,201,+24,3,,3,195,1,96
Costa Rica,201,,2,,2,197,4,39
Tunisia,200,+27,6,+1,2,192,10,17
Bosnia and Herzegovina,185,+9,3,,2,180,1,56
Albania,174,+28,6,+1,17,151,3,60
Jordan,172,,,,1,171,,17
Ukraine,162,+17,5,,1,156,,4
Vietnam,153,+5,,,20,133,3,2
Moldova,149,,1,,2,146,28,37
Burkina Faso,146,,4,,10,132,,7
Faeroe Islands,140,+8,,,47,93,,"2,865"
Malta,134,+5,,,2,132,1,303
Ghana,132,+64,4,,1,127,,4
Cyprus,132,,3,,4,125,3,109
Azerbaijan,122,+29,3,+1,15,104,6,12
Réunion,115,+4,,,1,114,,128
Brunei ,114,+5,,,5,109,1,261
Kazakhstan,111,+30,1,+1,2,108,,6
Oman,109,+10,,,23,86,,21
Venezuela,106,,,,15,91,2,4
Senegal,105,+6,,,9,96,,6
Sri Lanka,104,+2,,,7,97,3,5
Cambodia,96,,,,10,86,1,6
Belarus,86,,,,29,57,2,9
Afghanistan,84,,2,,2,80,,2
Palestine,84,+13,1,,17,66,,16
Mauritius,81,+33,2,,,79,1,64
Ivory Coast,80,,,,3,77,,3
Georgia,79,+4,,,10,69,1,20
Cameroon,75,,1,,2,72,,3
Guadeloupe,73,,1,,,72,4,182
Montenegro,67,+14,1,,,66,1,107
Martinique,66,,1,,,65,7,176
Uzbekistan,65,+5,,,,65,4,2
Trinidad and Tobago,61,+1,1,,,60,,44
Cuba,57,,1,,1,55,2,5
Honduras,52,,,,,52,,5
DRC,51,+3,3,+1,,48,,0.6
Nigeria,51,,1,,2,48,,0.2
Liechtenstein,51,,,,,51,,"1,338"
Channel Islands,46,,1,+1,,45,,265
Bangladesh,44,+5,5,,11,28,1,0.3
Kyrgyzstan,44,,,,,44,,7
Paraguay,41,+4,3,,,38,1,6
Rwanda,41,,,,,41,,3
Bolivia,39,+7,,,,39,,3
Mayotte,36,,,,,36,,132
Macao,31,,,,10,21,,48
Monaco,31,,,,1,30,,790
Kenya,31,+3,,,1,30,,0.6
French Guiana,28,,,,6,22,,94
Jamaica,26,,1,,2,23,,9
Gibraltar,26,,,,5,21,,772
French Polynesia,25,,,,,25,,89
Isle of Man,25,+2,,,,25,,294
Guatemala,24,,1,,4,19,,1
Madagascar,23,+4,,,,23,,0.8
Togo,23,,,,1,22,,3
Aruba,19,,,,1,18,,178
Barbados,18,,,,,18,,63
Zambia,16,+4,,,,16,,0.9
New Caledonia,14,,,,,14,,49
Uganda,14,,,,,14,,0.3
El Salvador,13,+4,,,,13,,2
Maldives,13,,,,8,5,,24
Tanzania,13,,,,,13,,0.2
Ethiopia,12,,,,,12,,0.1
Djibouti,11,,,,,11,,11
Dominica,11,,,,,11,,153
Mongolia,11,+1,,,,11,,3
Saint Martin,11,,,,,11,,284
Equatorial Guinea,9,,,,,9,,6
Cayman Islands,8,,1,,,7,,122
Haiti,8,,,,,8,,0.7
Suriname,8,,,,,8,,14
Gabon,7,+1,1,,,6,,3
Niger,7,,1,,,6,,0.3
