country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
World,"1,278,523","+5,661","69,757",+332,"266,732","942,034","45,897",164
USA,"336,851",+178,"9,620",+4,"17,977","309,254","8,702","1,018"
Spain,"131,646",,"12,641",,"38,080","80,925","6,861","2,816"
Italy,"128,948",,"15,887",,"21,815","91,246","3,977","2,133"
Germany,"100,132",+9,"1,584",,"28,700","69,848","3,936","1,195"
France,"92,839",,"8,078",,"16,183","68,578","6,838","1,422"
Iran,"58,226",,"3,603",,"22,011","32,612","4,103",693
UK,"47,806",,"4,934",,135,"42,737","1,559",704
Turkey,"27,069",,574,,"1,042","25,453","1,381",321
Switzerland,"21,176",+76,724,+9,"7,298","13,154",391,"2,447"
Belgium,"20,814","+1,123","1,632",+185,"3,986","15,196","1,257","1,796"
Netherlands,"17,851",,"1,766",,250,"15,835","1,385","1,042"
Canada,"15,512",,280,,"2,942","12,290",426,411
Austria,"12,058",+7,220,+16,"3,463","8,375",250,"1,339"
Brazil,"11,281",+27,487,+1,127,"10,667",296,53
Portugal,"11,278",,295,,75,"10,908",267,"1,106"
S. Korea,"10,284",+47,186,+3,"6,598","3,500",55,201
Israel,"8,611",+181,51,+2,585,"7,975",141,995
Sweden,"6,830",,401,,205,"6,224",541,676
Russia,"6,343",+954,47,+2,406,"5,890",8,43
Australia,"5,795",+45,39,+2,"2,315","3,441",95,227
Norway,"5,760",+73,73,+2,32,"5,655",89,"1,062"
Ireland,"4,994",,158,,25,"4,811",165,"1,011"
Denmark,"4,647",+278,179,,"1,327","3,141",142,802
Czechia,"4,591",+4,72,+5,96,"4,423",84,429
Chile,"4,471",,34,,618,"3,819",307,234
India,"4,314",+25,118,,328,"3,868",,3
Poland,"4,201",+99,98,+4,162,"3,941",50,111
Romania,"3,864",,157,+6,374,"3,333",141,201
Malaysia,"3,662",,61,,"1,005","2,596",99,113
Philippines,"3,660",+414,163,+11,73,"3,424",1,33
Japan,"3,654",,85,,575,"2,994",69,29
Ecuador,"3,646",,180,,100,"3,366",100,207
Pakistan,"3,277",+120,50,+3,257,"2,970",17,15
Luxembourg,"2,804",,36,,500,"2,268",33,"4,479"
Indonesia,"2,491",+218,209,+11,192,"2,090",,9
Saudi Arabia,"2,463",+61,34,,488,"1,941",41,71
Peru,"2,281",,83,,989,"1,209",81,69
Thailand,"2,220",+51,26,+3,793,"1,401",23,32
Finland,"2,176",+249,28,,300,"1,848",73,393
Mexico,"2,143",+253,94,+15,633,"1,416",293,17
Panama,"1,988",+187,54,+8,13,"1,921",78,461
Serbia,"1,908",,51,,54,"1,803",98,218
UAE,"1,799",,10,,144,"1,645",1,182
Dominican Republic,"1,745",,82,,17,"1,646",147,161
Greece,"1,735",,73,,78,"1,584",93,166
South Africa,"1,655",,11,,95,"1,549",7,28
Qatar,"1,604",,4,,123,"1,477",37,557
Argentina,"1,554",,46,,280,"1,228",86,34
Iceland,"1,486",,4,,428,"1,054",11,"4,355"
Colombia,"1,485",,35,,88,"1,362",50,29
Algeria,"1,320",,152,,90,"1,078",46,30
Ukraine,"1,319",+11,38,+1,28,"1,253",16,30
Singapore,"1,309",,6,,320,983,25,224
Croatia,"1,182",,15,,125,"1,042",39,288
Egypt,"1,173",,78,,247,848,,11
Morocco,"1,113",+92,71,+1,76,966,1,30
Estonia,"1,108",+11,19,+4,62,"1,027",14,835
New Zealand,"1,106",+67,1,,176,929,3,229
Slovenia,"1,021",+24,30,+2,102,889,30,491
Iraq,961,,61,,279,621,,24
Hong Kong,891,,4,,206,681,8,119
Moldova,864,,17,+2,37,810,80,214
Lithuania,843,+32,14,+1,8,821,11,310
Armenia,833,+11,8,+1,62,763,30,281
Hungary,744,+11,38,+4,67,639,17,77
Diamond Princess,712,,11,,619,82,10,
Belarus,700,+138,13,+5,53,634,11,74
Bahrain,700,,4,,431,265,3,411
Bosnia and Herzegovina,667,+13,26,+3,44,597,4,203
Kuwait,665,+109,1,,103,561,17,156
Cameroon,658,+8,9,,17,632,,25
Kazakhstan,604,+20,6,,45,553,6,32
Azerbaijan,584,,7,,32,545,17,58
Tunisia,574,,22,,5,547,39,49
North Macedonia,555,,18,,23,514,15,266
Latvia,542,+9,1,,1,540,5,287
Bulgaria,541,+10,21,+1,39,481,22,78
Lebanon,527,,18,,55,454,28,77
Andorra,501,,18,,26,457,12,"6,484"
Slovakia,485,,1,,8,476,3,89
Costa Rica,454,,2,,16,436,14,89
Cyprus,446,,9,,37,400,11,369
Uruguay,406,,6,,104,296,14,117
Uzbekistan,390,+48,2,,30,358,8,12
Albania,377,+16,21,+1,116,240,7,131
Taiwan,373,+10,5,,57,311,,16
Afghanistan,367,+18,7,,17,343,,9
Burkina Faso,345,,17,,90,238,,17
Jordan,345,,5,,110,230,5,34
Réunion,344,,,,40,304,4,384
Oman,331,+33,2,,61,268,3,65
Cuba,320,,8,,15,297,11,28
Channel Islands,309,,6,,27,276,,"1,777"
Honduras,298,+30,22,,6,270,10,30
San Marino,266,,32,,35,199,14,"7,839"
Ivory Coast,261,,3,,37,221,,10
Palestine,252,+15,1,,25,226,,49
Vietnam,241,,,,95,146,8,2
Nigeria,232,,5,,33,194,2,1
Mauritius,227,,7,,7,213,1,178
Malta,227,,,,5,222,3,514
Montenegro,223,+9,2,,1,220,4,355
Senegal,222,,2,,82,138,1,13
Kyrgyzstan,216,+69,4,+3,33,179,5,33
Ghana,214,,5,,31,178,2,7
Georgia,188,+14,2,,36,150,6,47
Niger,184,,10,,13,161,,8
Bolivia,183,+26,11,+1,2,170,3,16
Faeroe Islands,183,+2,,,107,76,1,"3,745"
Sri Lanka,176,,5,,33,138,5,8
Venezuela,159,,7,,52,100,6,6
DRC,154,,18,,3,133,,2
Martinique,149,,4,,50,95,21,397
Mayotte,147,,2,,14,131,3,539
Kenya,142,,4,,4,134,2,3
Isle of Man,138,+11,1,,,137,,"1,623"
Guadeloupe,135,,7,,31,97,14,337
Brunei ,135,,1,,73,61,3,309
Bangladesh,123,+35,12,+3,33,78,1,0.7
Guinea,121,,,,5,116,,9
Cambodia,114,,,,53,61,1,7
Paraguay,113,+9,5,+2,12,96,8,16
Trinidad and Tobago,105,+1,7,,1,97,,75
Rwanda,104,,,,4,100,,8
Gibraltar,103,,,,52,51,,"3,057"
Liechtenstein,77,,1,,,76,,"2,020"
Monaco,73,,1,,3,69,4,"1,860"
Madagascar,72,,,,2,70,6,3
Guatemala,70,,3,,15,52,3,4
El Salvador,69,+7,3,,2,64,4,11
French Guiana,68,,,,27,41,1,228
Aruba,64,,,,1,63,,599
Djibouti,59,,,,9,50,,60
Jamaica,58,,3,,8,47,,20
Barbados,56,,1,,6,49,4,195
Uganda,52,,,,,52,,1
Congo,45,,5,,2,38,,8
Mali,45,,5,,1,39,,2
Togo,44,,3,,20,21,,5
Macao,44,,,,10,34,,68
Ethiopia,43,,2,,4,37,1,0.4
French Polynesia,41,,,,,41,,146
Cayman Islands,39,,1,,1,37,,593
Zambia,39,,1,,3,35,,2
Sint Maarten,37,+12,6,+2,1,30,,863
Bermuda,37,,,,14,23,,594
Saint Martin,32,,2,,7,23,6,828
Bahamas,29,,5,,4,20,1,74
Guyana,29,+5,4,,,25,,37
Eritrea,29,,,,,29,,8
Gabon,24,+3,1,,1,22,,11
Tanzania,22,,1,,3,18,,0.4
Benin,22,,,,5,17,,2
Haiti,21,,1,,1,19,,2
Myanmar,21,,1,,,20,,0.4
Syria,19,,2,,2,15,,1
Maldives,19,,,,13,6,,35
Libya,18,,1,,,17,,3
Guinea-Bissau,18,,,,,18,,9
New Caledonia,18,,,,1,17,,63
Equatorial Guinea,16,,,,1,15,,11
Namibia,16,,,,3,13,,6
Antigua and Barbuda,15,,,,,15,1,153
Mongolia,15,+1,,,2,13,,5
Angola,14,,2,,2,10,,0.4
Dominica,14,,,,,14,,194
Fiji,14,+2,,,,14,,16
Saint Lucia,14,,,,1,13,,76
Liberia,13,,3,,3,7,,3
Sudan,12,,2,,2,8,,0.3
Grenada,12,,,,,12,2,107
Laos,12,+1,,,,12,,2
Curaçao,11,,1,,5,5,,67
Greenland,11,,,,3,8,,194
Suriname,10,,1,,,9,,17
Mozambique,10,,,,1,9,,0.3
Saint Kitts and Nevis,10,,,,,10,,188
Seychelles,10,,,,,10,,102
MS Zaandam,9,,2,,,7,,
Zimbabwe,9,,1,,,8,,0.6
Nepal,9,,,,1,8,,0.3
Chad,9,,,,,9,,0.5
Eswatini,9,,,,,9,,8
CAR,8,,,,,8,,2
Cabo Verde,7,,1,,1,5,,13
Vatican City,7,,,,,7,,"8,739"
St. Vincent Grenadines,7,,,,1,6,,63
Somalia,7,,,,1,6,,0.4
Botswana,6,,1,,,5,,3
Mauritania,6,,1,,2,3,,1
Nicaragua,6,,1,,,5,,0.9
Montserrat,6,,,,,6,,"1,202"
St. Barth,6,,,,1,5,,607
Sierra Leone,6,,,,,6,,0.8
Belize,5,,1,+1,,4,1,13
Turks and Caicos,5,,1,,,4,,129
Bhutan,5,,,,2,3,,6
Gambia,4,,1,,2,1,,2
Malawi,4,,,,,4,,0.2
Western Sahara,4,,,,,4,,7
Anguilla,3,,,,,3,,200
British Virgin Islands,3,,,,,3,,99
Burundi,3,,,,,3,,0.3
Caribbean Netherlands,2,,,,,2,,76
Falkland Islands,2,,,,,2,,575
